feature,feature value,n_samples,precision,recall,fbeta
race,Black,630,0.6666666666666666,0.2597402597402597,0.3738317757009345
race,White,5553,0.7284894837476099,0.26662001399580126,0.39036885245901637
race,Other,61,0.25,0.2,0.22222222222222224
race,Amer-Indian-Eskimo,66,0.4,0.25,0.3076923076923077
race,Asian-Pac-Islander,203,0.5,0.16326530612244897,0.24615384615384614
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4356,0.7607758620689655,0.26661631419939574,0.3948545861297538
sex,Female,2157,0.5175438596491229,0.24180327868852458,0.329608938547486
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5838,0.7175141242937854,0.2664335664335664,0.38857725650178476
native-country,Columbia,11,0.0,0.0,1.0
native-country,England,26,1.0,0.125,0.2222222222222222
native-country,El-Salvador,17,1.0,1.0,1.0
native-country,Cambodia,4,0.0,0.0,1.0
native-country,?,125,0.8181818181818182,0.2727272727272727,0.4090909090909091
native-country,Peru,7,1.0,0.0,0.0
native-country,China,16,0.0,0.0,1.0
native-country,Mexico,118,0.75,0.3,0.4285714285714285
native-country,Puerto-Rico,28,1.0,0.25,0.4
native-country,Ireland,6,1.0,0.0,0.0
native-country,Dominican-Republic,14,1.0,1.0,1.0
native-country,Canada,22,0.6666666666666666,0.2857142857142857,0.4
native-country,Yugoslavia,7,1.0,0.5,0.6666666666666666
native-country,Cuba,20,1.0,0.0,0.0
native-country,Nicaragua,8,1.0,0.0,0.0
native-country,Germany,25,1.0,0.3333333333333333,0.5
native-country,Taiwan,8,1.0,0.3333333333333333,0.5
native-country,Jamaica,15,1.0,1.0,1.0
native-country,India,20,0.5,0.2857142857142857,0.36363636363636365
native-country,France,10,1.0,0.2,0.33333333333333337
native-country,Philippines,34,1.0,0.2,0.33333333333333337
native-country,Ecuador,9,1.0,1.0,1.0
native-country,Trinadad&Tobago,3,1.0,1.0,1.0
native-country,Honduras,1,1.0,1.0,1.0
native-country,South,17,0.0,0.0,1.0
native-country,Iran,9,1.0,0.3333333333333333,0.5
native-country,Italy,12,0.0,0.0,1.0
native-country,Japan,11,1.0,0.3333333333333333,0.5
native-country,Guatemala,9,1.0,0.0,0.0
native-country,Poland,10,0.0,1.0,0.0
native-country,Portugal,11,0.0,0.0,1.0
native-country,Hungary,2,1.0,0.0,0.0
native-country,Vietnam,14,0.0,0.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1,1.0,1.0,1.0
native-country,Haiti,11,1.0,1.0,1.0
native-country,Greece,3,1.0,1.0,1.0
native-country,Laos,2,1.0,1.0,1.0
native-country,Hong,5,1.0,0.0,0.0
native-country,Scotland,3,1.0,1.0,1.0
native-country,Thailand,1,1.0,1.0,1.0
